Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,H1-1,H1-1 Length,H1-2,Canonical Link Element 1,Word Count,Unique Inlinks,Crawl Depth,Response Time,Redirect URL,Meta Robots 1
https://example.com/,text/html; charset=utf-8,200,OK,Indexable,,Example Roofing | Home,22,210,Local roofing company serving Austin with repairs and replacement.,72,Austin Roofing Company,22,,https://example.com/,850,40,0,0.21,,
https://example.com/services/roof-repair,text/html; charset=utf-8,200,OK,Indexable,,Roof Repair in Austin | Example Roofing,39,380,"Expert roof repair for leaks, storms, and missing shingles in Austin TX.",74,Roof Repair,11,,https://example.com/services/roof-repair,620,18,1,0.33,,
https://example.com/services/roof-replacement,text/html; charset=utf-8,200,OK,Indexable,,Roof Repair in Austin | Example Roofing,39,380,"Expert roof repair for leaks, storms, and missing shingles in Austin TX.",74,Roof Repair,11,,https://example.com/services/roof-replacement,590,12,1,0.29,,
https://example.com/blog/how-to-spot-a-leak,text/html; charset=utf-8,200,OK,Indexable,,,,,,,,,,https://example.com/blog/how-to-spot-a-leak,420,6,2,0.41,,
https://example.com/blog/spring-maintenance,text/html; charset=utf-8,200,OK,Indexable,,Spring,6,55,,0,Spring Maintenance Tips for Your Roof,37,,https://example.com/blog/spring-maintenance,180,4,2,0.22,,
https://example.com/blog/storm-checklist,text/html; charset=utf-8,200,OK,Indexable,,This Is An Extremely Long Blog Title About Storm Damage That Will Truncate In The SERPs For Sure,96,920,Short,5,Storm Checklist,15,Extra Heading,https://example.com/blog/storm-checklist,510,3,2,1.80,,
https://example.com/contact,text/html; charset=utf-8,200,OK,Non-Indexable,noindex,Contact Example Roofing,23,220,Request a roofing estimate in Austin.,38,Contact,7,,https://example.com/contact,140,25,1,0.19,,"noindex, follow"
https://example.com/old-offer,text/html; charset=utf-8,404,Not Found,Non-Indexable,Client Error,,,0,,,,0,,,0,9,2,0.18,,
https://example.com/api/broken,text/html; charset=utf-8,500,Internal Server Error,Non-Indexable,Server Error,,,0,,,,0,,,0,2,3,0.90,,
https://example.com/legacy,text/html; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,,0,,,,0,,,0,5,1,0.12,https://example.com/services/roof-repair,
http://example.com/http-page,text/html; charset=utf-8,200,OK,Indexable,,HTTP Page,9,90,This page is still on HTTP.,28,HTTP Page,9,,http://example.com/http-page,300,1,3,0.40,,
https://example.com/guides/orphan-guide,text/html; charset=utf-8,200,OK,Indexable,,Orphan Guide to Roof Ventilation,32,310,A long unique description about attic ventilation and why it matters for shingle life in Texas heat.,102,Roof Ventilation Guide,22,,https://example.com/guides/orphan-guide,740,0,5,0.25,,
https://example.com/blog/2024/01/ice-dams,text/html; charset=utf-8,200,OK,Indexable,,Ice Dams,8,80,How to prevent ice dams on residential roofs in cold snaps.,60,Ice Dams,8,,https://example.com/blog/2024/01/ice-dams,88,1,3,0.27,,
https://example.com/search?q=metal+roof,text/html; charset=utf-8,200,OK,Indexable,,Search Results,14,130,Search results for your query.,30,Search,6,,https://example.com/search?q=metal+roof,40,0,4,0.50,,
https://example.com/About_Us,text/html; charset=utf-8,200,OK,Indexable,,About Us,8,75,Meet the Example Roofing team in Austin.,41,About Us,8,,https://example.com/About_Us,260,2,1,0.20,,
